18	c1ad1f74	c103393c	0
19	c105bcb5	0	1
18	c1ad1f88	c103400e	2
19	c103393c	0	3
18	c1ad1f90	c10afc38	4
19	c103400e	0	5
18	c1ad1f98	c10aff8f	6
19	c10afc38	0	7
14	c1ad1f98	c10afe32	8
15	c17bb3a0	0	9
14	c1ad1f90	c17bb3ad	10
15	c17bb0f0	0	11
14	c1ad1f84	c17bb11d	12
15	c17ba960	0	13
18	e4dddee8	c17bac5e	14
19	c10291d1	0	15
18	e4dddf2c	c17bb11d	16
19	c17bac75	0	17
14	e4dddf2c	c17bb11d	18
15	c17ba960	0	19
18	e5d11ac4	c17bac5e	20
19	c10291d1	0	21
18	e5d11b08	c17bb11d	22
19	c17bac75	0	23
18	e5d11b14	c17bdeb2	24
19	c17bb127	0	25
18	e5d11b8c	c17bdfd7	26
19	c17bdeec	0	27
18	e5d11b98	c11f0ad6	28
19	c17bdfd7	0	29
18	e5d11ba8	c11f2208	30
19	c11f0ad6	0	31
18	e5d11f60	c11f237e	32
19	c11f1e37	0	33
18	e5d11f7c	c100393d	34
19	c11f23cc	0	35
18	e5d11fa8	c17beb1c	36
19	c100396e	0	37
18	bfd1f634	b766ece3	38
19	b7754c31	0	39
18	bfd1f63c	800943f3	40
19	b766ecef	0	41
14	bfd1f63c	800943f3	42
15	80068b80	0	43
1a	bfd1f634	b766ece3	44
1b	0	0	45
14	e5d11fa8	c17beb1c	46
15	c10038b0	0	47
1a	e5d11f7c	c100393d	48
1b	0	0	49
14	e5d11f60	c11f237e	50
15	c11f1d40	0	51
14	e5d11ba8	c11f2208	52
15	c11f0aa0	0	53
14	e5d11b98	c11f0ad6	54
15	c17bdfc0	0	55
14	e5d11b8c	c17bdfd7	56
15	c17bdde0	0	57
14	e5d11b14	c17bdeb2	58
15	c17bb0f0	0	59
14	e5d11b08	c17bb11d	60
15	c17ba960	0	61
18	e4dddee8	c17bac5e	62
19	c10291d1	0	63
18	e4dddf2c	c17bb11d	64
19	c17bac75	0	65
18	e4dddf38	c10878a2	66
19	c17bb127	0	67
14	e4dddf38	c10878a2	68
15	c17bb0f0	0	69
14	e4dddf2c	c17bb11d	70
15	c17ba960	0	71
18	c1ad1f40	c17bac5e	72
19	c10291d1	0	73
18	c1ad1f84	c17bb11d	74
19	c17bac75	0	75
18	c1ad1f90	c17bb3ad	76
19	c17bb127	0	77
18	c1ad1f98	c10afe32	78
19	c17bb3ad	0	79
14	c1ad1f98	c10afe32	80
15	c17bb3a0	0	81
14	c1ad1f90	c17bb3ad	82
15	c17bb0f0	0	83
14	c1ad1f84	c17bb11d	84
15	c17ba960	0	85
18	e5d09e74	c17bac5e	86
19	c10291d1	0	87
18	e5d09eb8	c17bb11d	88
19	c17bac75	0	89
18	e5d09ec4	c17bdc68	90
19	c17bb127	0	91
18	e5d09eec	c10dd391	92
19	c17bdcbe	0	93
18	e5d09f60	c10dd53e	94
19	c10dd3d1	0	95
18	e5d09f7c	c100393d	96
19	c10dd51f	0	97
18	e5d09fa8	c17beb1c	98
19	c100396e	0	99
18	bfd1f4f8	b7642230	100
19	b7754c31	0	101
18	bfd1f4fc	b764218d	102
19	b764223d	0	103
18	bfd1f54c	80072221	104
19	b76421a8	0	105
14	bfd1f54c	80072221	106
15	80068ab8	0	107
14	bfd1f4fc	b764218d	108
15	b7642210	0	109
1a	bfd1f4f8	b7642230	110
1b	0	0	111
14	e5d09fa8	c17beb1c	112
15	c10038b0	0	113
1a	e5d09f7c	c100393d	114
1b	0	0	115
14	e5d09f60	c10dd53e	116
15	c10dd2c0	0	117
14	e5d09eec	c10dd391	118
15	c17bdbf0	0	119
14	e5d09ec4	c17bdc68	120
15	c17bb0f0	0	121
14	e5d09eb8	c17bb11d	122
15	c17ba960	0	123
18	c1ad1f40	c17bac5e	124
19	c10291d1	0	125
18	c1ad1f84	c17bb11d	126
19	c17bac75	0	127
18	c1ad1f90	c17bb3ad	128
19	c17bb127	0	129
18	c1ad1f98	c10afe32	130
19	c17bb3ad	0	131
14	c1ad1f98	c10afe32	132
15	c17bb3a0	0	133
14	c1ad1f90	c17bb3ad	134
15	c17bb0f0	0	135
14	c1ad1f84	c17bb11d	136
15	c17ba960	0	137
18	e4dddee8	c17bac5e	138
19	c10291d1	0	139
18	e4dddf2c	c17bb11d	140
19	c17bac75	0	141
18	e4dddf38	c10878a2	142
19	c17bb127	0	143
14	e4dddf38	c1087827	144
15	c1087400	0	145
14	e4dddf00	c108753c	146
15	c17bb310	0	147
14	e4dddef8	c17bb335	148
15	c17bb2e0	0	149
14	e4dddeec	c17bb2f5	150
15	c17ba960	0	151
18	c0d97ee8	c17bac5e	152
19	c10291d1	0	153
18	c0d97f2c	c17bb11d	154
19	c17bac75	0	155
18	c0d97f38	c10878a2	156
19	c17bb127	0	157
14	c0d97f38	c10878a2	158
15	c17bb0f0	0	159
14	c0d97f2c	c17bb11d	160
15	c17ba960	0	161
18	e4dddea8	c17bac5e	162
19	c10291d1	0	163
18	e4dddeec	c17bb2f5	164
19	c17bac75	0	165
18	e4dddef8	c17bb335	166
19	c17bb2ff	0	167
18	e4dddf00	c108753c	168
19	c17bb335	0	169
18	e4dddf38	c1087827	170
19	c108759a	0	171
14	e4dddf38	c10878a2	172
15	c17bb0f0	0	173
14	e4dddf2c	c17bb11d	174
15	c17ba960	0	175
18	c1ad1f40	c17bac5e	176
19	c10291d1	0	177
18	c1ad1f84	c17bb11d	178
19	c17bac75	0	179
18	c1ad1f90	c17bb3ad	180
19	c17bb127	0	181
18	c1ad1f98	c10afe32	182
19	c17bb3ad	0	183
14	c1ad1f98	c10afe32	184
15	c17bb3a0	0	185
14	c1ad1f90	c17bb3ad	186
15	c17bb0f0	0	187
14	c1ad1f84	c17bb11d	188
15	c17ba960	0	189
18	c0d97ee8	c17bac5e	190
19	c10291d1	0	191
18	c0d97f2c	c17bb11d	192
19	c17bac75	0	193
18	c0d97f38	c10878a2	194
19	c17bb127	0	195
14	c0d97f38	c1087827	196
15	c1087400	0	197
14	c0d97f00	c108753c	198
15	c17bb310	0	199
14	c0d97ef8	c17bb335	200
15	c17bb2e0	0	201
14	c0d97eec	c17bb2f5	202
15	c17ba960	0	203
18	f6e13efc	c17bac5e	204
19	c10291d1	0	205
18	f6e13f40	c17bb11d	206
19	c17bac75	0	207
18	f6e13f4c	c108ffac	208
19	c17bb127	0	209
